month    headcount  quota  initial lowest   average   stop     number
2018-04   204980    11916   86300  86900    87089    11:29:12   69 
2018-03   217056     9855   86300  88100    88176    11:29:56   2526
2018-02   220831    11098   86300  87600    87660    11:29:59   410
2018-01   226316    12183   86300  87900    87936    11:29:59   3045
2017-12   228148    12147   91700  92800    92848    11:29:58   3160
2017-11   226911    11002   91700  93100    93130    11:29:59   1025
2017-10   244868    11388   91700  93500    93540    11:29:59   2535
2017-09   250566    12413   89800  91300    91415    11:29:56   2101
2017-08   256083    10558   89800  91600    91629    11:29:59   1468
2017-07   269189    10325   89800  92200    92250    11:29:57   1471
2017-06   244349    10312   86900  89400    89532    11:29:45   766
2017-05   270197    10316   86900  90100    90209    11:29:55   1145
2017-04   252273    12196   86900  89800    89850    11:29:59   154
2017-03   262010    10356   86000  87800    87916    11:29:55   1476
2017-02   251717    10157   86000  88200    88240    11:29:58   843
2017-01   232101    12215   86000  87600    87685    11:29:57   4000
2016-01   187533     9409   80600  82200    82352    11:29:46   491
2016-02   196470     8363   80600  83200    83244    11:29:58   224
2016-03   221109     8310   80600  83100    83148    11:29:57   1040
2016-04   256897    11829   82800  85100    85127    11:29:59   1396
2016-05   277889    11598   82800  85000    85058    11:29:58   696
2016-06   275438    11546   82800  84400    84483    11:29:54   292
2016-07   240750    11475   84800  87200    87235    11:29:57   2457
2016-08   251188    11549   84800  86900    86946    11:29:58   3113
2016-09   229544    12889   84800  86500    86523    11:29:59   2864
2016-10   213212    11621   86800  88300    88359    11:29:59   759
2016-11   215424    11549   86800  88600    88665    11:29:57   2181
2016-12   219882    12261   86800  88300    88412    11:29:54   1512


